,ALPHA,TRUE_THETA,TEST_ACCURACY,TRAIN_ACCURACY,TEST_LOSSES,TRAIN_LOSSES,TIME_SIMULATIONS,TIME_TRAINING,TIME_EVAL,RANKSUMS_STAT_ABC,RANKSUMS_PVALUE_ABC,C2ST_ABC,RANKSUMS_STAT_NRE,RANKSUMS_PVALUE_NRE,C2ST_NRE,RANKSUMS_STAT_CORRECTED_NRE,RANKSUMS_PVALUE_CORRECTED_NRE,C2ST_CORRECTED_NRE
0,1.0,7.171732,0.9332432,0,0,0,0,0,42.533639907836914,[122.47142539 122.47142539 122.47142539],[0. 0. 0.],[1. 1. 1.],[118.4405944  118.47668428 118.42613053],[0. 0. 0.],[0.93124998 0.93470001 0.93164998],[122.47142539 122.47142539 122.47142539],[0. 0. 0.],[1. 1. 1.]
1,0.99,7.171732,0.931871,0,0,0,0,0,34.42118000984192,[122.47142539 122.47142539 122.47142539],[0. 0. 0.],[1. 1. 1.],[118.30146319 118.21212151 118.00449815],[0. 0. 0.],[0.93425    0.93245    0.92860001],[122.47142539 122.47142539 122.47142539],[0. 0. 0.],[1. 1. 1.]
2,0.9,7.171732,0.9213842,0,0,0,0,0,52.841875076293945,[122.47142539 122.47142539 122.47142539],[0. 0. 0.],[1. 1. 1.],[117.23482525 117.69934345 117.9134382 ],[0. 0. 0.],[0.9249     0.92844999 0.92650002],[122.47142539 122.47142539 122.47142539],[0. 0. 0.],[1. 1. 1.]
3,0.75,7.171732,0.9089443,0,0,0,0,0,51.68120098114014,[122.47142539 122.47142539 122.47142539],[0. 0. 0.],[1. 1. 1.],[118.98227572 118.77238052 119.09430401],[0. 0. 0.],[0.93870002 0.9368     0.93905002],[122.47142539 122.47142539 122.47142539],[0. 0. 0.],[1. 1. 1.]
4,0.5,7.171732,0.88528645,0,0,0,0,0,49.7442901134491,[122.47142539 122.47142539 122.47142539],[0. 0. 0.],[1. 1. 1.],[118.21564624 118.13992215 118.14366855],[0. 0. 0.],[0.93124998 0.92729998 0.92834997],[122.47142539 122.47142539 122.47142539],[0. 0. 0.],[1. 1. 1.]
5,0.1,7.171732,0.7713241,0,0,0,0,0,60.95535898208618,[122.46128721 122.46397423 122.46112065],[0. 0. 0.],[0.99690002 0.99720001 0.99650002],[122.47142539 122.47142539 122.47142539],[0. 0. 0.],[1. 1. 1.],[121.62348835 121.71309457 121.66317889],[0. 0. 0.],[0.98215002 0.98180002 0.98280001]
6,0.05,7.171732,0.68327326,0,0,0,0,0,58.27785921096802,[121.92120782 121.98363395 121.93901761],[0. 0. 0.],[0.97885001 0.97934997 0.97829998],[122.47142539 122.47142539 122.47142539],[0. 0. 0.],[1. 1. 1.],[117.28869676 117.39940725 117.26877801],[0. 0. 0.],[0.91794997 0.91780001 0.91794997]
7,0.01,7.171732,0.51602566,0,0,0,0,0,101.18538498878479,[117.01374841 117.38189016 116.95370067],[0. 0. 0.],[0.92315    0.92715001 0.92210001],[122.47142539 122.47142539 122.47142539],[0. 0. 0.],[1. 1. 1.],[116.26601627 116.89971894 116.20662865],[0. 0. 0.],[0.91600001 0.92084998 0.91540003]
8,0.005,7.171732,0.49999,0,0,0,0,0,86.2898759841919,[116.38420609 116.27212759 116.21862105],[0. 0. 0.],[0.9163     0.91479999 0.91554999],[122.47142539 122.47142539 122.47142539],[0. 0. 0.],[1. 1. 1.],[115.84654674 115.94099058 116.34541449],[0. 0. 0.],[0.91369998 0.91525    0.91799998]
9,0.001,7.171732,0.50005007,0,0,0,0,0,84.40437197685242,[116.04496024 115.93356023 115.98661118],[0. 0. 0.],[0.91289997 0.91305    0.91479999],[122.47142539 122.47142539 122.47142539],[0. 0. 0.],[1. 1. 1.],[116.13391369 115.82544491 116.17947183],[0. 0. 0.],[0.91390002 0.91369998 0.91540003]
10,0.0001,7.171732,0.5001903,0,0,0,0,0,84.14959001541138,[116.02235324 116.05572671 115.78322411],[0. 0. 0.],[0.91530001 0.91385001 0.91275001],[122.47142539 122.47142539 122.47142539],[0. 0. 0.],[1. 1. 1.],[115.8968384  116.13148875 115.84842667],[0. 0. 0.],[0.91570002 0.91505003 0.91505003]
